"coalesce","takedown_success_rate","tkd_per_match","tkd_per_match-2","successful_count","successful_count-2","successful_count-3","single_leg_success_rate","single_leg_success_rate-2"
22568,0.21,1.0,2.0,3,3,NULL,0.23,NULL
22569,0.33,2.0,3.0,2,NULL,NULL,NULL,NULL
22573,0.0,1.0,0,NULL,NULL,NULL,NULL,NULL
22574,0.38,4.09,2.17,25,6,NULL,0.32,NULL
22575,0.3,1.75,1.5,3,NULL,NULL,NULL,NULL
22576,0.0,0,0,NULL,NULL,NULL,NULL,NULL
22577,0.5,4.0,6.0,3,1,1,0.33,0.5
22582,0.0,1.5,0,NULL,NULL,NULL,NULL,NULL
22586,0.7,2.88,4.75,14,4,4,0.67,0.57
22587,0.19,4.09,2.82,39,21,1,0.14,0.08
22588,1.0,4.0,8.0,3,NULL,3,NULL,1.0
22589,0.71,4.67,4.67,5,3,NULL,0.75,NULL
22591,0.22,1.0,4.0,2,NULL,1,NULL,0.25
22592,0.13,1.14,0.86,2,1,NULL,0.09,NULL
22594,0.13,1.0,1.0,1,1,NULL,0.33,NULL
22596,0.33,1.5,2.0,1,NULL,NULL,NULL,NULL
22597,0.0,0.33,0,NULL,NULL,NULL,NULL,NULL
22598,0.4,1.0,1.0,2,1,NULL,0.33,NULL
22600,0.33,0.5,1.0,1,1,NULL,0.33,NULL
22602,0.2,1.4,0.2,1,NULL,NULL,NULL,NULL
22603,0.34,1.77,1.37,14,3,NULL,0.23,NULL
22606,0.0,5.0,0,NULL,NULL,NULL,NULL,NULL
22610,0.57,4.04,3.08,30,NULL,NULL,NULL,NULL
22611,0.83,2.43,2.57,5,NULL,NULL,NULL,NULL
22613,0.0,0.25,0,NULL,NULL,NULL,NULL,NULL
22614,0.4,2.14,0.86,2,NULL,NULL,NULL,NULL
22616,0.36,2.36,1.36,13,NULL,NULL,NULL,NULL
22617,0.62,3.61,2.25,48,NULL,NULL,NULL,NULL
22618,1.0,2.0,0.0,1,1,NULL,1.0,NULL
22619,0.4,2.89,0.83,10,NULL,NULL,NULL,NULL
22620,0.24,3.66,0.79,10,NULL,NULL,NULL,NULL
22621,1.0,1.67,1.33,1,NULL,NULL,NULL,NULL
22623,0.67,2.75,1.5,2,NULL,NULL,NULL,NULL
22624,0.67,2.8,1.6,2,NULL,NULL,NULL,NULL
22625,0.6,2.25,0.88,3,NULL,NULL,NULL,NULL
22626,0.08,1.86,0.14,2,NULL,NULL,NULL,NULL
22628,1.0,2.25,1.0,1,NULL,NULL,NULL,NULL
22629,1.0,2.0,4.0,1,NULL,NULL,NULL,NULL
22630,0.67,2.5,4.0,2,NULL,NULL,NULL,NULL
22631,0.76,3.13,2.46,32,NULL,NULL,NULL,NULL
22633,0.0,0,0,NULL,NULL,NULL,NULL,NULL
22634,1.0,5.0,6.0,2,NULL,NULL,NULL,NULL
22635,0.16,2.97,0.62,5,NULL,NULL,NULL,NULL
22636,0.62,2.97,3.62,32,NULL,NULL,NULL,NULL
22637,0.6,2.13,0.5,3,NULL,NULL,NULL,NULL
22638,0.62,3.03,3.55,40,NULL,NULL,NULL,NULL
22639,0.47,2.39,1.91,16,NULL,NULL,NULL,NULL
22640,1.0,2.0,0.67,1,NULL,NULL,NULL,NULL
22641,0.92,2.2,1.52,12,NULL,NULL,NULL,NULL
22642,0.33,3.7,1.2,7,NULL,NULL,NULL,NULL
22646,0.71,2.29,1.71,12,NULL,NULL,NULL,NULL
22650,0.0,3.0,0,NULL,NULL,NULL,NULL,NULL
22651,1.0,2.0,4.0,1,NULL,NULL,NULL,NULL
22653,0.0,0,0,NULL,NULL,NULL,NULL,NULL
22660,0.62,3.4,4.37,39,NULL,NULL,NULL,NULL
22661,0.86,3.31,2.33,44,NULL,NULL,NULL,NULL
22662,0.6,2.17,1.5,3,NULL,NULL,NULL,NULL
22663,1.0,1.0,1.0,1,NULL,NULL,NULL,NULL
22664,0.0,1.5,0,NULL,NULL,NULL,NULL,NULL
22665,0.5,3.0,3.0,2,NULL,NULL,NULL,NULL
22666,0.25,2.0,1.0,1,NULL,NULL,NULL,NULL
22668,0.33,2.0,2.0,1,NULL,NULL,NULL,NULL
22669,0.0,0.8,0,NULL,NULL,NULL,NULL,NULL
22670,0.5,2.0,2.0,1,NULL,NULL,NULL,NULL
22672,0.0,0.33,0,NULL,NULL,NULL,NULL,NULL
22674,0.17,0.25,1.0,1,NULL,NULL,NULL,NULL
22675,0.5,3.5,4.0,2,NULL,NULL,NULL,NULL
22676,0.6,3.25,1.0,3,NULL,NULL,NULL,NULL
22677,0.55,2.79,1.61,35,NULL,NULL,NULL,NULL
22679,0.0,1.5,0,NULL,NULL,NULL,NULL,NULL
22681,0.59,2.3,2.09,36,NULL,NULL,NULL,NULL
22684,0.0,1.5,0,NULL,NULL,NULL,NULL,NULL
22685,0.0,3.0,0,NULL,NULL,NULL,NULL,NULL
22686,0.0,0,0,NULL,NULL,NULL,NULL,NULL
22687,0.48,3.86,1.33,19,NULL,NULL,NULL,NULL
22688,0.6,2.9,1.23,15,NULL,NULL,NULL,NULL
22689,0.33,0.5,1.0,1,NULL,NULL,NULL,NULL
22691,0.41,3.59,1.28,11,NULL,NULL,NULL,NULL
22692,0.58,1.5,1.71,7,NULL,NULL,NULL,NULL
22693,0.33,1.0,0.33,1,NULL,NULL,NULL,NULL
22694,0.0,1.5,0,NULL,NULL,NULL,NULL,NULL
22695,0.0,1.0,0,NULL,NULL,NULL,NULL,NULL
22702,0.78,3.73,1.32,18,NULL,NULL,NULL,NULL
22703,0.15,4.13,1.0,4,NULL,NULL,NULL,NULL
22705,0.0,1.8,0,NULL,NULL,NULL,NULL,NULL
22706,0.38,3.2,1.8,5,NULL,NULL,NULL,NULL
22707,0.33,0.33,1.33,1,NULL,NULL,NULL,NULL
22709,0.0,1.71,0,NULL,NULL,NULL,NULL,NULL
22710,0.38,1.75,1.25,3,NULL,NULL,NULL,NULL
22712,1.0,0.5,2.0,1,NULL,NULL,NULL,NULL
22713,0.25,1.21,0.0,1,NULL,NULL,NULL,NULL
22714,0.0,0.71,0,NULL,NULL,NULL,NULL,NULL
22715,0.5,2.71,2.0,5,NULL,NULL,NULL,NULL
22718,0.0,2.29,0,NULL,NULL,NULL,NULL,NULL
22719,0.38,2.84,0.22,3,NULL,NULL,NULL,NULL
22720,0.0,0.5,0,NULL,NULL,NULL,NULL,NULL
22721,0.5,1.0,1.0,1,NULL,NULL,NULL,NULL
22722,0.0,1.5,0,NULL,NULL,NULL,NULL,NULL
22723,0.57,2.0,1.71,4,NULL,NULL,NULL,NULL
22724,0.0,3.0,0,NULL,NULL,NULL,NULL,NULL
22725,0.69,2.82,2.22,31,NULL,NULL,NULL,NULL
22726,0.0,1.5,0,NULL,NULL,NULL,NULL,NULL
22727,0.5,3.5,2.0,2,1,NULL,0.5,NULL
22728,0.1,1.5,1.5,2,NULL,1,NULL,0.25
22731,0.0,3.0,0,NULL,NULL,NULL,NULL,NULL
22735,0.33,4.0,3.0,2,2,NULL,0.5,NULL
22743,0.2,4.0,4.0,1,NULL,NULL,NULL,NULL
22747,0.8,5.0,8.0,4,3,1,0.75,1.0
22749,0.5,4.5,3.0,3,1,2,0.5,0.5
22751,0.35,2.56,1.66,29,1,NULL,0.17,NULL
22753,0.0,3.5,0,NULL,NULL,NULL,NULL,NULL
22754,0.08,1.0,1.0,1,NULL,1,NULL,0.33
22756,1.0,3.0,2.0,1,1,NULL,1.0,NULL
22764,1.0,2.0,2.0,1,NULL,NULL,NULL,NULL
22765,0.2,4.0,2.0,1,NULL,NULL,NULL,NULL
22766,1.0,2.0,2.0,1,1,NULL,1.0,NULL
22767,0.0,2.0,0,NULL,NULL,NULL,NULL,NULL
22768,0.5,3.0,4.0,2,2,NULL,0.67,NULL
22775,0.0,1.0,0,NULL,NULL,NULL,NULL,NULL
22777,0.5,2.0,2.0,1,NULL,1,NULL,0.5
22787,0.0,1.0,0,NULL,NULL,NULL,NULL,NULL
23089,0.0,0,0,NULL,NULL,NULL,NULL,NULL
23099,0.5,2.25,1.0,1,NULL,NULL,NULL,NULL
23118,0.0,1.0,0,NULL,NULL,NULL,NULL,NULL
23123,0.5,3.71,1.71,6,2,NULL,0.5,NULL
23124,0.1,2.67,1.33,2,1,NULL,0.06,NULL
23127,0.0,2.0,0,NULL,NULL,NULL,NULL,NULL
23128,0.2,2.0,0.67,1,NULL,NULL,NULL,NULL
23131,0.0,5.0,0,NULL,NULL,NULL,NULL,NULL
23134,0.33,3.5,2.0,2,1,NULL,0.33,NULL
23135,0.2,1.0,2.0,1,NULL,1,NULL,1.0
23136,0.0,0,0,NULL,NULL,NULL,NULL,NULL
23137,0.29,3.5,4.0,6,2,1,0.13,1.0
23138,0.0,2.0,0,NULL,NULL,NULL,NULL,NULL
23140,0.0,0,0,NULL,NULL,NULL,NULL,NULL
23144,0.5,2.0,2.0,1,1,NULL,1.0,NULL
23147,0.25,2.0,2.0,2,2,NULL,0.33,NULL
23148,0.56,3.5,5.0,5,2,1,0.5,1.0
23149,0.0,1.0,0,NULL,NULL,NULL,NULL,NULL
23151,0.21,1.93,1.14,7,2,2,0.13,0.15
23152,0.04,1.67,1.33,1,NULL,NULL,NULL,NULL
23154,0.0,0,0,NULL,NULL,NULL,NULL,NULL
23157,0.67,4.5,3.0,6,5,1,0.83,0.5
23169,0.0,0,0,NULL,NULL,NULL,NULL,NULL
23170,0.0,2.0,0,NULL,NULL,NULL,NULL,NULL
23174,0.5,1.0,2.0,1,1,NULL,0.5,NULL
23177,0.2,4.0,4.0,1,1,NULL,0.33,NULL
23179,0.0,0,0,NULL,NULL,NULL,NULL,NULL
23182,1.0,2.0,4.0,1,NULL,NULL,NULL,NULL
23192,0.0,4.0,0,NULL,NULL,NULL,NULL,NULL
23193,1.0,2.0,4.0,1,1,NULL,1.0,NULL
23196,0.0,8.0,0,NULL,NULL,NULL,NULL,NULL
23199,0.0,0.33,0,NULL,NULL,NULL,NULL,NULL
23200,0.0,1.0,0,NULL,NULL,NULL,NULL,NULL
23201,0.09,1.71,0.57,1,NULL,NULL,NULL,NULL
23202,0.0,1.0,0,NULL,NULL,NULL,NULL,NULL
23204,0.29,2.0,3.0,2,NULL,NULL,NULL,NULL
23210,0.0,0,0,NULL,NULL,NULL,NULL,NULL
23212,0.58,2.76,2.24,18,NULL,NULL,NULL,NULL
23216,1.0,1.75,1.0,1,NULL,NULL,NULL,NULL
23223,0.64,3.18,2.29,16,NULL,NULL,NULL,NULL
23224,0.5,1.5,1.0,1,NULL,NULL,NULL,NULL
23225,0.0,0.5,0,NULL,NULL,NULL,NULL,NULL
23228,0.5,1.0,4.0,1,NULL,NULL,NULL,NULL
23231,0.0,0,0,NULL,NULL,NULL,NULL,NULL
23239,0.3,2.13,1.0,3,NULL,NULL,NULL,NULL
23240,0.0,0,0,NULL,NULL,NULL,NULL,NULL
23242,0.11,1.5,1.0,1,1,NULL,0.14,NULL
23250,0.5,3.0,1.0,1,NULL,NULL,NULL,NULL
23251,1.0,1.6,0.4,1,NULL,NULL,NULL,NULL
23252,1.0,1.0,2.0,1,NULL,NULL,NULL,NULL
23280,0.25,2.0,2.0,1,1,NULL,0.33,NULL
23281,0.0,1.0,0,NULL,NULL,NULL,NULL,NULL
23282,0.0,0,0,NULL,NULL,NULL,NULL,NULL
23283,0.4,5.0,4.0,2,2,NULL,0.4,NULL
23288,0.5,1.0,2.0,1,NULL,NULL,NULL,NULL
23294,0.13,1.0,2.0,1,NULL,NULL,NULL,NULL
23295,0.0,5.0,0,NULL,NULL,NULL,NULL,NULL
23296,0.0,1.0,0,NULL,NULL,NULL,NULL,NULL
23297,0.41,3.54,2.39,38,10,5,0.25,0.5
23298,0.0,1.0,0,NULL,NULL,NULL,NULL,NULL
23299,0.0,1.0,0,NULL,NULL,NULL,NULL,NULL
23300,0.2,2.4,1.6,3,1,2,0.17,0.25
23301,0.82,3.2,5.2,9,4,3,0.67,1.0
23303,0.69,3.5,3.67,9,7,NULL,0.7,NULL
23304,0.0,0,0,NULL,NULL,NULL,NULL,NULL
23305,0.21,3.0,3.0,3,2,NULL,0.18,NULL
23316,0.07,3.0,0.67,1,NULL,1,NULL,0.33
23317,0.5,3.0,4.0,1,1,NULL,1.0,NULL
23319,0.3,3.71,4.29,13,2,8,0.13,0.36
23320,0.0,5.0,0,NULL,NULL,NULL,NULL,NULL
23321,0.38,1.33,2.0,3,2,NULL,0.33,NULL
23323,0.0,0,0,NULL,NULL,NULL,NULL,NULL
23327,0.53,3.06,2.78,23,14,7,0.54,0.47
23328,0.17,2.5,0.0,1,NULL,NULL,NULL,NULL
23329,0.28,3.14,2.82,29,20,6,0.26,0.55
23332,0.67,3.75,2.5,6,NULL,3,NULL,1.0
23339,0.0,0,0,NULL,NULL,NULL,NULL,NULL
23340,1.0,1.75,1.0,1,NULL,NULL,NULL,NULL
23341,1.0,1.0,0.67,1,NULL,NULL,NULL,NULL
23342,0.5,4.0,4.0,1,NULL,NULL,NULL,NULL
23344,0.0,0.5,0,NULL,NULL,NULL,NULL,NULL
23345,0.0,1.0,0,NULL,NULL,NULL,NULL,NULL
23348,0.0,1.0,0,NULL,NULL,NULL,NULL,NULL
23350,0.25,1.0,0.0,1,NULL,NULL,NULL,NULL
23356,0.0,0,0,NULL,NULL,NULL,NULL,NULL
23357,0.0,0.33,0,NULL,NULL,NULL,NULL,NULL
23358,1.0,2.2,0.8,1,NULL,NULL,NULL,NULL
23362,0.2,1.6,0.8,1,NULL,NULL,NULL,NULL
23364,0.0,1.0,0,NULL,NULL,NULL,NULL,NULL
23366,1.0,2.0,2.0,1,NULL,NULL,NULL,NULL
23367,0.0,0.5,0,NULL,NULL,NULL,NULL,NULL
23368,0.25,2.0,2.0,1,NULL,NULL,NULL,NULL
23372,0.0,2.75,0,NULL,NULL,NULL,NULL,NULL
23373,0.4,3.13,1.25,10,NULL,NULL,NULL,NULL
23377,0.33,1.67,0.33,1,NULL,NULL,NULL,NULL
23378,0.0,0,0,NULL,NULL,NULL,NULL,NULL
23379,0.0,2.0,0,NULL,NULL,NULL,NULL,NULL
23380,0.45,3.36,2.64,10,NULL,NULL,NULL,NULL
23381,0.0,2.5,0,NULL,NULL,NULL,NULL,NULL
23382,0.0,0,0,NULL,NULL,NULL,NULL,NULL
23386,0.0,0.33,0,NULL,NULL,NULL,NULL,NULL
23388,0.47,2.5,0.39,7,NULL,NULL,NULL,NULL
23389,0.25,2.33,0.67,3,NULL,NULL,NULL,NULL
23393,0.0,0,0,NULL,NULL,NULL,NULL,NULL
23400,0.0,3.0,0,NULL,NULL,NULL,NULL,NULL
23401,0.67,5.0,4.0,2,2,NULL,1.0,NULL
23403,0.0,1.0,0,NULL,NULL,NULL,NULL,NULL
23407,0.2,2.0,2.0,1,1,NULL,0.33,NULL
23412,0.5,2.83,1.83,12,3,2,0.38,0.29
23413,0.31,3.71,1.43,5,2,2,0.2,0.4
23414,0.0,3.0,0,NULL,NULL,NULL,NULL,NULL
23415,0.32,3.55,3.45,28,3,5,0.09,0.42
23417,0.5,3.0,8.0,2,NULL,NULL,NULL,NULL
23419,1.0,2.0,2.0,1,NULL,NULL,NULL,NULL
23420,0.67,2.67,2.0,2,1,NULL,0.5,NULL
23424,0.0,0.5,0,NULL,NULL,NULL,NULL,NULL
23428,0.33,2.0,2.0,1,NULL,NULL,NULL,NULL
23429,0.0,3.0,0,NULL,NULL,NULL,NULL,NULL
23433,0.5,3.0,2.0,1,NULL,1,NULL,0.5
23439,0.67,7.0,4.0,2,1,1,0.5,1.0
23443,0.5,2.5,1.0,1,NULL,NULL,NULL,NULL
23446,0.67,1.5,2.0,2,1,NULL,0.5,NULL
23447,0.0,0,0,NULL,NULL,NULL,NULL,NULL
23451,0.53,3.46,2.0,10,3,2,0.33,0.5
23452,0.13,6.0,2.0,1,NULL,1,NULL,0.33
23453,0.33,2.0,4.0,3,3,NULL,0.6,NULL
23454,0.29,1.5,2.0,2,2,NULL,0.4,NULL
23455,0.44,3.0,4.0,4,3,NULL,0.43,NULL
23457,0.0,0,0,NULL,NULL,NULL,NULL,NULL
23461,0.67,2.0,4.0,2,NULL,NULL,NULL,NULL
23462,0.25,1.5,2.0,1,NULL,NULL,NULL,NULL
23463,1.0,3.0,2.0,1,NULL,NULL,NULL,NULL
23464,0.8,3.0,2.67,4,NULL,NULL,NULL,NULL
23465,1.0,6.0,4.0,1,NULL,NULL,NULL,NULL
23467,1.0,3.0,8.0,2,NULL,NULL,NULL,NULL
23468,1.0,3.0,8.0,2,NULL,NULL,NULL,NULL
23469,0.0,1.0,0,NULL,NULL,NULL,NULL,NULL
23471,0.33,3.71,2.0,4,NULL,NULL,NULL,NULL
23473,0.67,2.75,1.5,2,NULL,NULL,NULL,NULL
23475,0.67,3.79,1.39,22,NULL,NULL,NULL,NULL
23476,0.0,0,0,NULL,NULL,NULL,NULL,NULL
23479,0.6,3.0,4.0,6,NULL,NULL,NULL,NULL
23480,0.43,2.67,1.67,3,NULL,NULL,NULL,NULL
23481,0.34,2.0,0.86,11,NULL,NULL,NULL,NULL
23483,0.0,0,0,NULL,NULL,NULL,NULL,NULL
23484,0.0,1.0,0,NULL,NULL,NULL,NULL,NULL
23486,0.33,2.0,1.0,1,NULL,NULL,NULL,NULL
23487,0.0,1.0,0,NULL,NULL,NULL,NULL,NULL
23494,1.0,5.0,2.0,1,1,NULL,1.0,NULL
23511,0.13,2.0,0.67,2,2,NULL,0.18,NULL
23513,0.6,6.0,6.0,3,1,2,0.5,1.0
23516,0.0,2.0,0,NULL,NULL,NULL,NULL,NULL
23517,0.0,0,0,NULL,NULL,NULL,NULL,NULL
23520,0.0,0,0,NULL,NULL,NULL,NULL,NULL
23522,0.0,1.0,0,NULL,NULL,NULL,NULL,NULL
23523,0.0,0,0,NULL,NULL,NULL,NULL,NULL
23525,0.0,1.0,0,NULL,NULL,NULL,NULL,NULL
23528,0.0,0.5,0,NULL,NULL,NULL,NULL,NULL
23529,0.22,3.0,4.0,2,2,NULL,0.22,NULL
23532,0.2,3.0,2.0,1,1,NULL,0.5,NULL
23538,0.0,0,0,NULL,NULL,NULL,NULL,NULL
23556,1.0,4.0,8.0,2,NULL,NULL,NULL,NULL
23560,0.0,0,0,NULL,NULL,NULL,NULL,NULL
23561,0.67,1.83,1.33,2,NULL,NULL,NULL,NULL
23563,0.5,4.0,2.0,1,NULL,NULL,NULL,NULL
23564,0.0,1.0,0,NULL,NULL,NULL,NULL,NULL
23565,1.0,1.75,2.0,2,NULL,NULL,NULL,NULL
23569,0.0,1.0,0,NULL,NULL,NULL,NULL,NULL
23574,0.0,0,0,NULL,NULL,NULL,NULL,NULL
23578,0.38,3.0,6.0,3,1,1,0.25,0.33
23579,0.17,2.0,1.0,2,2,NULL,0.22,NULL
23590,0.2,2.0,2.0,1,1,NULL,0.33,NULL
23592,0.0,0,0,NULL,NULL,NULL,NULL,NULL
23594,0.0,3.0,0,NULL,NULL,NULL,NULL,NULL
23603,0.0,0,0,NULL,NULL,NULL,NULL,NULL
23611,1.0,1.33,0.67,1,NULL,NULL,NULL,NULL
23612,0.5,2.5,1.0,1,NULL,NULL,NULL,NULL
23613,0.0,2.0,0,NULL,NULL,NULL,NULL,NULL
23614,1.0,3.75,1.0,2,NULL,NULL,NULL,NULL
23621,1.0,2.0,1.0,1,NULL,NULL,NULL,NULL
23622,0.5,2.0,0.5,1,NULL,NULL,NULL,NULL
23634,1.0,3.0,2.0,1,NULL,NULL,NULL,NULL
23639,0.0,1.0,0,NULL,NULL,NULL,NULL,NULL
23643,0.44,2.64,0.57,4,1,NULL,0.5,NULL
23644,0.0,0.5,0,NULL,NULL,NULL,NULL,NULL
23645,0.29,2.57,2.0,6,4,NULL,0.33,NULL
23646,0.14,0.67,0.67,1,1,NULL,0.25,NULL
23649,0.0,2.0,0,NULL,NULL,NULL,NULL,NULL
23651,0.22,3.0,2.0,2,NULL,1,NULL,0.33
23653,0.0,2.5,0,NULL,NULL,NULL,NULL,NULL
23656,0.35,2.28,1.25,22,10,6,0.32,0.38
23657,0.0,0.5,0,NULL,NULL,NULL,NULL,NULL
23660,1.0,2.0,1.33,2,NULL,NULL,NULL,NULL
23661,0.2,1.83,0.33,1,NULL,NULL,NULL,NULL
23662,0.55,3.04,1.42,11,NULL,NULL,NULL,NULL
23667,1.0,1.33,0.67,1,NULL,NULL,NULL,NULL
23669,0.5,2.5,3.0,2,NULL,NULL,NULL,NULL
23672,0.0,1.0,0,NULL,NULL,NULL,NULL,NULL
23674,0.33,1.0,1.5,2,NULL,NULL,NULL,NULL
23677,0.33,2.33,3.0,2,NULL,NULL,NULL,NULL
23679,0.33,1.0,2.0,1,NULL,NULL,NULL,NULL
23683,0.27,3.0,3.0,3,2,1,0.2,1.0
23691,1.0,2.0,2.0,1,1,NULL,1.0,NULL
23699,0.33,3.0,1.33,2,1,1,0.5,0.25
23700,0.0,0,0,NULL,NULL,NULL,NULL,NULL
23705,0.0,0.33,0,NULL,NULL,NULL,NULL,NULL
23708,0.13,2.0,2.0,1,1,NULL,0.13,NULL
23721,0.0,0,0,NULL,NULL,NULL,NULL,NULL
23726,0.0,2.0,0,NULL,NULL,NULL,NULL,NULL
23733,0.63,2.66,3.66,35,NULL,NULL,NULL,NULL
23735,0.5,1.5,1.0,1,NULL,NULL,NULL,NULL
23736,0.0,2.0,0,NULL,NULL,NULL,NULL,NULL
23741,0.0,0.75,0,NULL,NULL,NULL,NULL,NULL
23745,0.0,1.0,0,NULL,NULL,NULL,NULL,NULL
23754,0.0,2.0,0,NULL,NULL,NULL,NULL,NULL
23767,0.09,1.0,2.0,1,1,NULL,0.1,NULL
23786,0.0,0,0,NULL,NULL,NULL,NULL,NULL
23798,1.0,0.5,0.0,1,1,NULL,1.0,NULL
23850,0.0,0,0,NULL,NULL,NULL,NULL,NULL
23883,0.0,5.0,0,NULL,NULL,NULL,NULL,NULL
23892,1.0,1.5,1.0,1,NULL,NULL,NULL,NULL
23899,0.0,0,0,NULL,NULL,NULL,NULL,NULL
24003,0.5,2.33,1.33,2,2,NULL,0.67,NULL
24004,0.5,1.5,1.0,1,NULL,NULL,NULL,NULL
24005,0.1,2.0,0.67,1,1,NULL,0.11,NULL
24008,0.0,0,0,NULL,NULL,NULL,NULL,NULL
24010,0.35,4.33,2.0,8,2,NULL,0.2,NULL
24011,0.3,3.5,1.5,3,2,NULL,0.33,NULL
24012,0.5,8.0,4.0,2,2,NULL,0.5,NULL
24015,0.51,3.73,2.4,18,9,2,0.38,1.0
24016,0.0,0.5,0,NULL,NULL,NULL,NULL,NULL
24020,0.33,3.0,4.0,1,NULL,NULL,NULL,NULL
24021,0.5,1.0,4.0,1,NULL,NULL,NULL,NULL
24024,0.56,3.36,0.91,14,NULL,NULL,NULL,NULL
24029,0.33,1.4,0.4,1,NULL,NULL,NULL,NULL
24030,1.0,3.0,2.0,1,NULL,NULL,NULL,NULL
24033,0.5,1.25,1.0,1,NULL,NULL,NULL,NULL
24035,0.25,1.0,2.0,1,NULL,NULL,NULL,NULL
24047,1.0,6.0,6.0,3,2,NULL,1.0,NULL
24048,0.33,6.0,6.0,3,2,NULL,0.4,NULL
24108,0.25,1.5,3.0,2,NULL,NULL,NULL,NULL
24182,0.0,0,0,NULL,NULL,NULL,NULL,NULL
24236,0.0,1.0,0,NULL,NULL,NULL,NULL,NULL
24550,0.0,2.0,0,NULL,NULL,NULL,NULL,NULL
24568,0.0,0,0,NULL,NULL,NULL,NULL,NULL
24597,0.0,0,0,NULL,NULL,NULL,NULL,NULL
24624,1.0,2.0,0.0,1,NULL,NULL,NULL,NULL
24635,0.33,3.0,6.0,3,3,NULL,0.5,NULL
24645,0.0,0,0,NULL,NULL,NULL,NULL,NULL
24729,0.13,1.5,0.5,1,1,NULL,0.14,NULL
24732,0.11,1.0,1.0,1,1,NULL,0.14,NULL
24749,0.0,1.0,0,NULL,NULL,NULL,NULL,NULL
24774,0.0,1.0,0,NULL,NULL,NULL,NULL,NULL
24974,1.0,2.0,4.0,2,NULL,NULL,NULL,NULL
25055,0.79,3.92,3.46,15,NULL,NULL,NULL,NULL
25069,0.0,1.0,0,NULL,NULL,NULL,NULL,NULL
25071,0.29,2.0,4.0,2,1,1,0.5,0.25
25538,0.3,3.0,3.0,3,1,NULL,1.0,NULL
25539,0.19,1.6,1.0,3,1,NULL,0.17,NULL
25543,0.13,1.0,0.67,1,NULL,NULL,NULL,NULL
25547,0.45,5.11,4.67,20,11,3,0.39,0.6
25548,0.0,1.0,0,NULL,NULL,NULL,NULL,NULL
25553,1.0,3.0,2.0,2,NULL,NULL,NULL,NULL
25555,0.47,2.41,2.82,17,NULL,NULL,NULL,NULL
25558,0.33,1.0,2.0,1,NULL,NULL,NULL,NULL
25560,0.51,3.06,1.81,20,NULL,NULL,NULL,NULL
25561,0.0,2.0,0,NULL,NULL,NULL,NULL,NULL
25565,0.89,3.31,1.12,17,NULL,NULL,NULL,NULL
25571,0.0,1.0,0,NULL,NULL,NULL,NULL,NULL
25577,1.0,2.0,2.0,1,1,NULL,1.0,NULL
25579,0.6,4.0,4.0,3,NULL,NULL,NULL,NULL
25580,0.0,3.0,0,NULL,NULL,NULL,NULL,NULL
25615,0.5,4.0,4.0,1,NULL,NULL,NULL,NULL
25618,0.35,4.2,3.4,28,11,4,0.22,0.27
25619,0.4,2.0,1.33,2,1,1,0.33,0.5
25622,0.0,0,0,NULL,NULL,NULL,NULL,NULL
25624,0.5,2.0,2.0,1,NULL,NULL,NULL,NULL
25625,0.43,3.0,3.0,3,1,2,0.33,0.5
25626,0.0,1.33,0,NULL,NULL,NULL,NULL,NULL
25627,0.31,3.5,2.25,23,15,6,0.28,0.4
25633,0.0,1.5,0,NULL,NULL,NULL,NULL,NULL
25636,0.41,3.8,5.2,12,5,2,0.26,0.5
25637,0.0,1.0,0,NULL,NULL,NULL,NULL,NULL
25639,0.0,0,0,NULL,NULL,NULL,NULL,NULL
25641,0.0,0,0,NULL,NULL,NULL,NULL,NULL
25645,0.0,0,0,NULL,NULL,NULL,NULL,NULL
25646,0.4,3.0,4.0,2,NULL,1,NULL,1.0
25648,0.15,1.5,1.0,2,1,NULL,0.11,NULL
25649,0.0,2.0,0,NULL,NULL,NULL,NULL,NULL
25654,0.11,1.2,0.4,1,NULL,NULL,NULL,NULL
25655,0.56,3.28,3.68,28,NULL,NULL,NULL,NULL
25661,0.33,2.33,0.67,1,NULL,NULL,NULL,NULL
25662,0.0,1.0,0,NULL,NULL,NULL,NULL,NULL
25671,0.86,2.47,0.95,6,NULL,NULL,NULL,NULL
25672,0.85,2.7,3.7,28,NULL,NULL,NULL,NULL
25675,0.0,1.0,0,NULL,NULL,NULL,NULL,NULL
25677,0.57,1.16,0.74,4,NULL,NULL,NULL,NULL
25689,0.0,1.0,0,NULL,NULL,NULL,NULL,NULL
25691,0.0,1.0,0,NULL,NULL,NULL,NULL,NULL
25692,0.06,1.0,0.67,1,NULL,NULL,NULL,NULL
25716,0.2,2.0,0.8,1,NULL,NULL,NULL,NULL
25717,0.5,5.0,4.33,8,NULL,NULL,NULL,NULL
25718,0.0,3.0,0,NULL,NULL,NULL,NULL,NULL
25960,0.67,3.0,4.0,2,1,1,1.0,1.0
25967,0.0,0,0,NULL,NULL,NULL,NULL,NULL
25970,0.5,6.0,1.0,1,NULL,NULL,NULL,NULL
25971,1.0,4.0,1.0,3,3,NULL,1.0,NULL
25980,0.0,1.0,0,NULL,NULL,NULL,NULL,NULL
25999,1.0,3.0,4.0,1,NULL,NULL,NULL,NULL
26007,0.0,2.0,0,NULL,NULL,NULL,NULL,NULL
26008,0.0,6.0,0,NULL,NULL,NULL,NULL,NULL
26012,0.5,2.0,4.0,1,NULL,NULL,NULL,NULL
